x	BH.Q	ADJ.P	PER	LAG	AMP	WT2U_ZT00	WT2U_ZT04	WT2U_ZT08	WT2U_ZT12	WT2U_ZT16	WT2U_ZT20	WT2U_ZT24	WT2U_ZT28	WT2U_ZT32	WT2U_ZT36	WT2U_ZT40	WT2U_ZT44
FBgn0037906	0.318210812061247	0.0324589646464646	24	10	91.0413339112862	288.068650738362	412.679645406157	445.989738176388	638.707994014171	324.81730238903	308.320338503712	316.169913808445	436.004292443526	352.403246951061	522.386427949968	372.122566654356	304.784329524114
FBgn0038330	0.318210812061247	0.0324589646464646	24	10	88.8353845369918	821.400570378461	931.244199830999	880.153990870826	963.664692723135	902.573568543187	802.539704634663	769.460112816967	896.23104557836	988.193081212917	904.620399620675	803.957824236968	734.25315748991
FBgn0264750	0.318210812061247	0.0324589646464646	24	18	88.6520811875717	587.70632359473	592.77449066016	594.652984235183	623.020429248911	623.248885536374	638.177759476434	565.479523263132	443.069176811824	424.557027484068	637.05661945118	778.861186020744	718.090352136359
FBgn0038589	0.318210812061247	0.0324589646464646	24	6	88.0499344495022	338.97234805759	357.47469284086	266.073423343868	293.581569178444	197.437968118822	224.439069940202	385.296669157244	393.614986233739	221.689876420252	231.463905067262	174.811066195767	195.1081503393
FBgn0036289	0.318210812061247	0.0324589646464646	28	20	86.3419973814032	1224.00254008509	1213.60395721416	1093.01272954592	1256.1257215612	1402.08252935993	1329.63145979726	1312.27512612967	1277.73480146645	803.102948541291	1241.19864689738	1448.68180599858	1301.10583096089
FBgn0034468	0.318210812061247	0.0324589646464646	24	14	83.9022152882111	702.239642562994	720.379381016011	679.120737677681	1039.86143586869	832.514934694573	718.658436071153	638.005955104496	686.303052920366	757.091842114446	972.573105695468	784.91899524535	656.9025890122
FBgn0083972	0.318210812061247	0.0324589646464646	28	20	83.738552561979	703.396544774795	580.104501546813	644.488958766257	714.904737159721	750.628219806582	845.613869572682	728.6639949062	684.284514529423	651.475438725552	806.938384638161	699.244264783068	886.645322251967
FBgn0261931	0.318210812061247	0.0324589646464646	24	12	81.0242437181208	912.795845110712	972.874164060567	1048.2448202214	1025.2944114438	1111.83961770139	929.495138136191	913.379751002173	1017.3433490349	1118.90645174373	1067.06983758073	1065.30902221282	995.167015340099
FBgn0036446	0.318210812061247	0.0324589646464646	28	20	80.9560370066641	1989.87180429712	1730.35851319424	1913.19461547257	1816.39589174907	1877.02547571028	2031.28693602446	2027.34041506562	1779.3415916156	1705.548058686	1773.14092413912	1838.11239900896	1945.30907290959
FBgn0259977	0.318210812061247	0.0324589646464646	24	16	78.8120463943158	541.430235122704	495.034574642912	468.796031605862	668.962583204316	627.798147474596	579.234165350724	470.288581471342	506.653136126505	537.493379622687	593.524417122016	661.166606799832	559.925756890891
FBgn0051636	0.318210812061247	0.0324589646464646	28	22	78.5035888694428	233.694246783731	94.11991912772	77.7103331670978	109.812953356822	180.15077275358	190.433150252293	220.978972016655	123.130841847477	89.9307989251966	114.670191501212	163.560849064356	159.31908134215
FBgn0032084	0.318210812061247	0.0324589646464646	24	2	75.4315631564336	337.815445845789	241.634792375973	142.750503317821	124.379977781707	121.010367556697	214.237294033829	301.437982340668	225.067030590061	112.936352138619	159.264154862795	129.810197670124	180.099831082431
FBgn0015011	0.318210812061247	0.0324589646464646	24	10	75.3026233615782	300.794575068169	333.039713836548	326.890205822466	437.010732746538	345.74390730485	205.16904878372	285.572825375369	354.253487610365	367.043144450512	441.692589486151	328.852500764314	143.156275988599
