x	BH.Q	ADJ.P	PER	LAG	AMP	WAKED2_ZT00	WAKED2_ZT04	WAKED2_ZT08	WAKED2_ZT12	WAKED2_ZT16	WAKED2_ZT20	WAKED2_ZT24	WAKED2_ZT28	WAKED2_ZT32	WAKED2_ZT36	WAKED2_ZT40	WAKED2_ZT44
FBgn0036279	0.451877853755579	0.0324589646464646	24	20	121.731806107934	2063.28082852796	1986.74586583408	1747.64516683775	2018.98533338001	2248.54827182877	2287.71209057398	2030.65860082051	2014.28630017658	2075.22517583087	2054.19731021632	2244.99575873807	2166.23195512304
FBgn0030817	0.451877853755579	0.0324589646464646	20	18	121.654352048103	972.338453630471	898.030923816227	706.085457544787	1064.68720697403	1068.41508972936	916.3487655614	896.369855141222	878.048504197012	682.8327126124	1224.72174900087	992.978893287991	895.618589849188
FBgn0032613	0.451877853755579	0.0324589646464646	24	4	121.503141443013	595.156613925464	623.809145259604	319.578963011977	341.483978205816	313.874640468211	469.459466100422	570.796636510184	692.603020813512	568.165097994408	399.577652857048	430.593822146623	489.677643637056
FBgn0053554	0.451877853755579	0.0324589646464646	28	12	121.22327950331	1972.4580059361	2167.44167355848	2285.57520143644	2189.21148565783	2237.90845350781	2078.26094415994	2046.31115940854	2006.08981472316	2098.50356376083	2316.25094704939	2388.14832230132	2029.70473106066
FBgn0085354	0.451877853755579	0.0324589646464646	24	4	117.428377233661	1108.03843562066	1143.19609007546	882.606821930984	869.700887092155	779.36669201005	846.832652311914	1042.46040196284	1043.00277394698	810.432764969263	861.961549252603	847.554066811031	890.157500886693
FBgn0027836	0.451877853755579	0.0324589646464646	28	20	116.142963346959	1167.87464815176	1058.75031058617	974.632177772129	1256.57850590539	1220.91915232974	1384.90542499624	1229.24760111334	1095.25536871249	1082.01395748556	1184.65569708838	1127.04240519644	1334.32606983629
FBgn0029950	0.451877853755579	0.0324589646464646	24	0	113.556562783831	573.786538021498	388.632189477599	249.305054915103	256.886738891989	307.668079780987	470.362272765999	624.015335709488	415.971636760778	374.17853191134	347.600071997595	529.437258892682	509.701636499538
FBgn0033716	0.451877853755579	0.0324589646464646	28	20	110.838310730194	947.76286634091	747.299747523514	912.724211115359	793.357036979676	962.903558046546	1060.79783205384	987.1546949518	804.280135116283	863.024678440672	762.337852605317	955.4865552119	1065.82252918028
FBgn0051719	0.451877853755579	0.0324589646464646	24	16	108.199793295147	1080.2573369455	1076.91069327204	1176.25136647864	1297.84545191214	1192.54630347385	1213.37215853647	1061.24347226848	958.988798049479	1165.64372153026	1399.06321813362	1240.65555088156	1214.1821126614
FBgn0032681	0.451877853755579	0.0324589646464646	24	22	106.369037707238	1055.68174965594	890.76677074188	932.802470571609	922.316243250755	1007.23613438386	1034.61643875208	1067.50449570369	808.37837784299	789.740864587069	1000.56843154448	1042.96867738945	1124.07414478023
FBgn0261573	0.451877853755579	0.0324589646464646	28	6	100.000277967112	1730.97614822128	2144.74119520114	2128.29550236249	1951.92654611905	1941.76684357453	1853.46208443109	1841.78439385827	2004.04069335981	2143.33601458892	2120.25215255854	1987.09391803283	1768.48264235465
