WT2U_ZT00	WT2U_ZT04	WT2U_ZT08	WT2U_ZT12	WT2U_ZT16	WT2U_ZT20	WT2U_ZT24	WT2U_ZT28	WT2U_ZT32	WT2U_ZT36	WT2U_ZT40	WT2U_ZT44	WAKED2_ZT00	WAKED2_ZT04	WAKED2_ZT08	WAKED2_ZT12	WAKED2_ZT16	WAKED2_ZT20	WAKED2_ZT24	WAKED2_ZT28	WAKED2_ZT32	WAKED2_ZT36	WAKED2_ZT40	WAKED2_ZT44
FBgn0034532	1.80946530795943	3.03795652106303	1.98671997400097	2.11755163578991	1.72362951877135	1.78912517883017	2.07889676809326	2.78680249968684	2.60478401807884	2.49500775599245	1.78961109331247	1.56327267891514	7.76237087158032	4.23699807691162	5.79471623653329	7.71272009657219	4.01737715625502	3.10965169183513	6.31662521055051	4.26854744341721	2.63934865399817	2.54386474767699	2.86374469576703	2.02594237562349
FBgn0262531	1.14665194703884	1.83896327778641	0.760097032323446	1.05319730801741	1.09418448355644	0.541647394604112	1.03397170713392	2.14649797877551	1.47060153858188	1.53887013464931	0.678530885064376	0.370620196079906	0.885667277708892	1.10229936796769	1.07095693171733	1.32000337100701	0.770796012414795	0.891152018467293	1.37750233531242	1.13705603955316	0.545284185455998	0.964072799130302	0.836668228573557	0.375626881237045
FBgn0030747	1.12798991770125	1.41736800487257	1.31260430891222	1.08410034651077	1.10214070260392	0.854624086925269	1.0332358630023	1.2001156578961	1.31854805859415	1.24993660062477	1.17402080621001	0.917073083842937	1.52829693527252	1.22233563786587	1.27270029237392	1.31796199250628	0.872078423330523	1.00099558845276	1.23925111845273	1.23242683484394	1.02970345309869	1.15258715541153	1.29937028224523	0.898887366811607
FBgn0265048	32.7694777546431	37.8119450683165	37.3498927947702	32.18987115343	30.8351895205382	32.5963581240073	33.5724017696226	37.7668093848496	35.815676370638	33.5355836103578	32.3229408768751	32.1132382671969	28.8891152592817	35.114887100482	30.1338575247223	30.4286190235472	31.7164727139387	31.34239720889	30.3927575753108	37.679748874222	36.2392592533905	31.5269932485441	32.3913265240634	31.7939901132394
FBgn0001216	7.9808204973575	10.023561569621	8.67427878903924	6.98746964208204	7.72927561367115	7.62606236245678	7.97705338627269	10.3636839497686	8.85472712786154	7.92764555501274	7.17615538414435	7.75416174037722	13.6221715323759	10.6299747873775	11.2816920047574	15.3053775708487	9.43073033235925	9.42949702605972	14.2404191936293	9.91726410305424	8.92203471323038	9.49562758634783	8.40968543199449	7.29559858985428
FBgn0053143	15.6107043161654	18.0673560397536	16.4290807336906	15.4072834164798	15.6728572973464	14.5860821837112	15.761508262122	18.1616145484461	20.0110958310654	15.4797294418557	14.7761298596179	15.2474437629534	14.4318967798325	13.5242571981336	19.4089657278268	13.7922141672675	14.5048621839216	13.9056219849276	13.3610864952164	15.1927892635237	16.2866677732514	15.081129783674	12.6835158056438	14.7689419390295
FBgn0034335	36.2742269137138	46.9449241923291	50.3702674625463	26.3435327212135	26.9005123611536	33.6162327196742	37.4523062934676	47.3390582806995	45.7431994822832	36.7430219976676	29.0842109832038	33.8751021818514	26.2243043442549	43.3321005490358	46.5516868998951	26.8987971334204	29.1396758050771	33.9029187579233	28.0502626565629	49.2873472479702	49.8395869837787	29.7845824768712	30.4488336173854	40.668992853068
FBgn0050466	6.3616372991141	7.98515071406561	7.31151353863603	6.51655979616539	5.40624359100573	4.60672518544739	5.56217734356104	8.12235562306762	7.90057358267606	7.32074248936853	5.85886070544222	5.46369964687461	7.65032048125223	6.18341990629916	8.55188500360623	8.18922696852783	5.85910337750194	4.45146833347618	7.25448055633915	6.48872184011204	6.36389487783499	7.75997295955388	6.52170865306042	4.44731145405311
FBgn0030968	39.9443085662661	48.6324070133579	43.3520916731339	46.8564565790553	37.6596962642699	34.9536563328872	37.3853945511262	37.6168589578391	47.9363612415086	45.7228770434343	41.7541282409127	33.6033919381729	31.5923717629706	40.379560129671	28.3354736955487	41.4337911463967	30.1309042961022	33.0486017582357	30.0994410282972	49.5344158732773	51.5793277918323	34.1177188274877	29.74472686131	29.2773607952986
FBgn0034143	6.64657926112658	8.41049628388139	7.12425714861383	7.33550613764847	6.03144665959098	4.82714670810016	5.81108939112682	6.81775535722503	7.7927332892429	7.37578110066058	5.9692230230004	5.02882644007284	6.02792600798337	7.41069551157466	5.2630006200015	7.36711563527236	6.36907014195325	5.84656314877954	5.61861680883909	5.58942643460307	4.93252401996913	5.89659987512158	6.003716734236	5.11309631437167
